quality,subsample,stdHuffmanTables,oldSize,newSize,time
1,4:2:0,False,786486,2009,0.5662209987640381
1,4:2:0,False,786486,3840,0.5985000133514404
1,4:2:0,False,786486,4269,0.6155991554260254
1,4:2:0,False,786486,3124,0.5894620418548584
1,4:2:0,False,786486,3619,0.5964548587799072
1,4:2:0,False,786486,2384,0.568669319152832
1,4:2:0,False,786486,2162,0.5758340358734131
1,4:2:0,False,786486,2550,0.5770630836486816
1,4:2:0,False,786486,3154,0.5873432159423828
1,4:2:0,False,786486,3861,0.6019420623779297
1,4:2:0,False,786486,2668,0.5851778984069824
1,4:2:0,False,786486,4499,0.6179838180541992
1,4:2:0,False,786486,4418,0.6179680824279785
1,4:1:1,True,786486,6031,0.3349177837371826
1,4:1:1,True,786486,5708,0.32798314094543457
1,4:1:1,True,786486,5237,0.31835103034973145
1,4:1:1,True,786486,5629,0.3248178958892822
1,4:1:1,True,786486,5853,0.33115601539611816
1,4:1:1,True,786486,5958,0.3342571258544922
1,4:1:1,True,786486,4923,0.3155210018157959
1,4:1:1,True,786486,4903,0.315871000289917
1,4:1:1,True,786486,6552,0.34286999702453613
1,4:1:1,True,786486,6964,0.35013508796691895
1,4:1:1,True,786486,6103,0.33553099632263184
1,4:1:1,True,786486,6384,0.34142184257507324
1,4:1:1,True,786486,5244,0.3181278705596924
1,4:1:1,True,786486,5015,0.3185849189758301
1,4:1:1,True,786486,5374,0.32326316833496094
1,4:1:1,True,786486,5975,0.3330521583557129
1,4:1:1,True,786486,6636,0.34551501274108887
1,4:1:1,True,786486,5547,0.3258223533630371
1,4:1:1,True,786486,7303,0.3557858467102051
1,4:1:1,True,786486,7332,0.3560512065887451
1,4:1:1,False,786486,3226,0.5862541198730469
1,4:1:1,False,786486,2837,0.5828530788421631
1,4:1:1,False,786486,2359,0.5707237720489502
1,4:1:1,False,786486,2693,0.5824658870697021
1,4:1:1,False,786486,3011,0.5857598781585693
1,4:1:1,False,786486,3119,0.5844578742980957
1,4:1:1,False,786486,2036,0.5670583248138428
1,4:1:1,False,786486,2009,0.5653009414672852
1,4:1:1,False,786486,3840,0.6012289524078369
1,4:1:1,False,786486,4269,0.6128249168395996
1,4:1:1,False,786486,3124,0.5893630981445312
1,4:1:1,False,786486,3619,0.5954318046569824
1,4:1:1,False,786486,2384,0.5726687908172607
1,4:1:1,False,786486,2162,0.5662841796875
1,4:1:1,False,786486,2550,0.5756330490112305
1,4:1:1,False,786486,3154,0.5874371528625488
1,4:1:1,False,786486,3861,0.6013491153717041
1,4:1:1,False,786486,2668,0.5762729644775391
1,4:1:1,False,786486,4499,0.6156139373779297
1,4:1:1,False,786486,4418,0.6127669811248779
1,4:2:2,True,786486,7029,0.4369478225708008
1,4:2:2,True,786486,6737,0.4342770576477051
1,4:2:2,True,786486,6221,0.42438483238220215
1,4:2:2,True,786486,6624,0.43322324752807617
1,4:2:2,True,786486,6890,0.4359149932861328
1,4:2:2,True,786486,6915,0.4350399971008301
1,4:2:2,True,786486,5939,0.4174320697784424
